"","V1","V2"
"1",2.10308545337502,3.53757952458053
"2",3.18484918464674,2.33041401284977
"3",4.58784533120882,3.63880561143831
"4",1.86962432575371,1.27601016550743
"5",2.91974824344901,1.25756991965909
"6",3.13242028438109,3.68980417328299
"7",3.70795472927173,3.33096317717347
"8",2.76030197582816,3.87106770894805
"9",4.98447393665293,0.983754417786565
"10",2.86121298788034,4.21257910351036
"11",3.41765075079256,4.20049469882194
"12",3.98175277746366,4.03206832593544
"13",2.60730464449619,3.78641025617722
"14",1.96033102305109,5.11007351377927
"15",4.78222896030857,1.54619015318671
"16",0.688930915394833,2.41689615186935
"17",3.87860458092126,3.40972398255031
"18",3.03580671801523,2.19301836458576
"19",4.01282869212708,3.08555044085451
"20",3.43226515453962,3.74624316863974
"21",5.09081920524915,2.34632693866892
"22",1.80007418035613,3.65710598330196
"23",4.58963820029007,3.54990923500971
"24",4.95465164222325,2.19327064156733
"25",3.00493777682814,2.00262028272376
"26",3.54829361215387,6.97589063842626
"27",6.47723730261362,5.83057681929928
"28",5.4034418313686,6.72219177943747
"29",6.79220327029965,5.1555813930875
"30",6.28963671017735,7.27729368500115
"31",6.73893860376212,4.65688945081978
"32",6.31896040109765,6.7653406688607
"33",7.076164353812,6.46420256998037
"34",5.71584227951175,6.26799327804053
"35",5.22332472602024,6.66752268713524
"36",5.40433950130822,6.39846728386378
"37",4.27402022085397,5.36192896906993
"38",5.09741552023631,5.73228709597649
"39",5.44093808509953,6.35987956488571
"40",5.75348743266648,4.68713390605929
"41",5.61641377156856,5.11603039033129
"42",4.04089682483287,8.07709479458465
"43",5.15829493986439,3.90077436779902
"44",7.90354746734764,4.76149403467172
"45",6.62249393012074,6.99043308966404
"46",7.99092043558031,7.08866186319808
"47",5.69451627515855,6.83985225418826
"48",5.90915576479924,6.05685863868339
"49",5.81583854844874,6.32387805118027
"50",4.80123223469259,5.09533133240905
"51",8.16171285239796,8.34781615162988
"52",11.0663013557312,8.73754536203905
"53",8.43775294665751,8.0653371590943
"54",10.2757155118509,9.82116121263418
"55",7.95242737300502,7.37574082654006
"56",7.03412175855267,7.96959633051971
"57",8.67702890624003,7.738070688027
"58",9.93586252680863,9.39218462589648
"59",10.1392298027341,7.86856173834628
"60",10.671618767326,9.54414448400816
"61",7.21175779323515,10.1766089347346
"62",11.0312425187552,9.02522856923904
"63",8.29685566700612,9.51513316969204
"64",9.15816476256012,8.34589023998258
"65",9.50623479748072,9.50364199082757
"66",8.1800048943838,7.7278807776716
"67",7.00115300503588,8.92322884630134
"68",8.52070740854836,7.65468062432059
"69",9.08417990432224,8.73368243975381
"70",8.10451338933669,10.0875629950195
"71",8.07872433449226,9.70056779541521
"72",9.33044950346532,8.5572404853596
"73",8.85833919106392,8.21148003411214
"74",9.4348477615027,8.14322429022556
"75",8.94627737398282,8.25358098537661
"76",11.0928896244065,12.2979836204014
"77",13.3035122324223,10.9804478027816
"78",12.7717897755399,14.8708974235722
"79",13.0525255953076,12.2187100114046
"80",10.5899616593363,11.0334456702989
"81",12.9959845897778,12.3838381816224
"82",10.304235096621,11.8781039286817
"83",11.4666278574528,11.6494524277998
"84",10.6277305488569,12.5994636211307
"85",9.79208022119536,12.2312740775657
"86",13.8221225187536,13.0262461968145
"87",11.3466065891812,11.4755511499603
"88",11.7153187806449,13.7962062421465
"89",11.6130503963551,10.5658035942483
"90",12.3866949746461,12.1386861704625
"91",13.6003908515395,12.4514637270455
"92",13.6811549557668,13.2147741246003
"93",10.8163936117727,10.6755188752708
"94",10.6415427464368,10.860372224001
"95",10.487329205279,13.6756485703841
"96",10.7468951006308,12.3981462083992
"97",13.9593570771456,12.715519135042
"98",12.0076458721328,11.2068048644744
"99",11.1573848024104,13.9238516471638
"100",11.3988398948477,12.0704399863141
"101",16.0744594064128,15.4692800363133
"102",15.2605978350922,14.9101479059293
"103",14.6857280198281,15.8941516315435
"104",14.2503699045169,14.6262901220086
"105",14.1378016703142,17.2582519032112
"106",17.0480403030485,16.573101780215
"107",15.9399200776134,13.0456782688359
"108",17.0086871159154,14.3806775662
"109",14.5786264275946,14.9700522713815
"110",14.6491655768521,13.2783415780933
"111",13.9726194019132,13.94654320062
"112",14.7494808732797,14.4293375165991
"113",15.4718594661169,15.4827143946793
"114",16.3589398209981,15.0959238924107
"115",15.5641686026836,14.4121602090514
"116",15.4559800904812,14.9182199640739
"117",16.2309536630209,17.8884182545331
"118",16.1471368477271,16.1728253528027
"119",15.1065980409274,15.5496432204971
"120",14.2166833429914,15.7791045100046
"121",16.2411998270774,14.434868749195
"122",15.1388584191035,15.102954285796
"123",16.7106315882366,15.2815215131843
"124",14.569359025277,14.5255688262768
"125",13.9557704190729,14.5419957930031
